Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
double_lift_zebra,0,756,39,0.027217492246283934,18,0.046455674494306244
double_lift_zebra,AVG,N/A,N/A,0.027217492246283934,N/A,0.046455674494306244
single_clift_cloth_3,0,1273,66,0.008971168038745722,30,0.014835535641759634
single_clift_cloth_3,AVG,N/A,N/A,0.008971168038745722,N/A,0.014835535641759634
single_lift_rope,0,332,34,0.00981763459961204,15,0.011339805958171686
single_lift_rope,AVG,N/A,N/A,0.00981763459961204,N/A,0.011339805958171686
single_push_sloth,0,1000,46,0.04140114992775995,21,0.12539254625638327
single_push_sloth,AVG,N/A,N/A,0.04140114992775995,N/A,0.12539254625638327
