Case Name,Level,Num Nodes,Train Track Error,Test Track Error
double_stretch_zebra,0,4208,0.012296250446645177,0.018014144977420817
double_stretch_zebra,1,2644,0.008837928606927373,0.02189876036652023
double_stretch_zebra,2,1671,0.00953952776392118,0.019494157155342976
double_stretch_zebra,3,1088,0.029658685983840447,0.033386677205865994
double_stretch_zebra,AVG,N/A,0.015083098200333545,0.023198434926287505
double_lift_sloth,0,6660,0.006248878319363381,0.02032835138511096
double_lift_sloth,1,4239,0.008429322468092793,0.026833839359366347
double_lift_sloth,2,2669,0.013647382542743048,0.0305443545512168
double_lift_sloth,3,1689,0.017457428742216813,0.03597917343394229
double_lift_sloth,AVG,N/A,0.011445753018104009,0.0284214296824091
single_push_sloth,0,6270,0.009416296448845968,0.021309982378414707
single_push_sloth,1,3972,0.012081709414340662,0.017885845235189792
single_push_sloth,2,2500,0.024049255076018138,0.039335361473527494
single_push_sloth,3,1608,0.026123756811068658,0.04037884489197909
single_push_sloth,AVG,N/A,0.017917754437568358,0.029727508494777774
single_push_rope_4,0,855,0.005774148155945761,0.008371651007970514
single_push_rope_4,1,526,0.012117440494532486,0.017427436113697077
single_push_rope_4,2,340,0.01395269546021207,0.020271785987847055
single_push_rope_4,3,215,0.014394324561018369,0.023534753897511394
single_push_rope_4,AVG,N/A,0.011559652167927172,0.01740140675175651
single_lift_cloth_3,0,8582,0.015651396352731904,0.05607594838408371
single_lift_cloth_3,1,5459,0.020193808632165626,0.10691960452072817
single_lift_cloth_3,2,3369,0.019108627607099353,0.08877443455034742
single_lift_cloth_3,3,2072,0.01991769723587686,0.09836980911548922
single_lift_cloth_3,AVG,N/A,0.018717882456968437,0.08753494914266213
single_lift_dinosor,0,7576,0.005779518835723174,0.009320376666617728
single_lift_dinosor,1,4759,0.0075960533682687586,0.020558374134500255
single_lift_dinosor,2,3021,0.01376438902123747,0.01768524946832836
single_lift_dinosor,3,1909,0.03569227598591169,0.04407620192379908
single_lift_dinosor,AVG,N/A,0.015708059302785272,0.022910050548311356
double_lift_cloth_3,0,7521,0.002933447519734764,0.00927130461743371
double_lift_cloth_3,1,4748,0.004494399772332019,0.021900714975975184
double_lift_cloth_3,2,2980,0.0060210332573772535,0.02239959658648179
double_lift_cloth_3,3,1903,0.006196057732789764,0.022664005326338096
double_lift_cloth_3,AVG,N/A,0.00491123457055845,0.019058905376557196
single_lift_cloth_1,0,5490,0.009779826023880542,0.02151747537085697
single_lift_cloth_1,1,3475,0.008659444902621017,0.02664805890354499
single_lift_cloth_1,2,2183,0.00869723344492212,0.02803246656194
single_lift_cloth_1,3,1375,0.009746966546929631,0.03413545422000771
single_lift_cloth_1,AVG,N/A,0.009220867729588326,0.027583363764087418
single_lift_zebra,0,4934,0.004516187345614623,0.021974753071259793
single_lift_zebra,1,3114,0.005334110564938098,0.02560051513949422
single_lift_zebra,2,1985,0.008282482756958764,0.04552144075024947
single_lift_zebra,3,1282,0.013352256471331765,0.04562898738560637
single_lift_zebra,AVG,N/A,0.007871259284710812,0.034681424086652465
single_push_rope,0,2332,0.006124590275127434,0.012968423605318701
single_push_rope,1,1476,0.007202533078715118,0.013486710313439499
single_push_rope,2,940,0.009171088505048344,0.015738925311072488
single_push_rope,3,571,0.009090849409454526,0.014862976517134276
single_push_rope,AVG,N/A,0.007897265317086356,0.014264258936741242
single_clift_cloth_3,0,8158,0.0058230765788705365,0.01842792471831125
single_clift_cloth_3,1,5161,0.010008247682027134,0.05374734090610227
single_clift_cloth_3,2,3264,0.010564162025119297,0.053203396871499595
single_clift_cloth_3,3,2026,0.011219171578394204,0.053942316649787395
single_clift_cloth_3,AVG,N/A,0.009403664466102794,0.044830244786425125
double_lift_zebra,0,4607,0.004961097166393191,0.025068804243034364
double_lift_zebra,1,2919,0.008241882716100891,0.026088767634374864
double_lift_zebra,2,1854,0.008061776489185562,0.022910488355603217
double_lift_zebra,3,1173,0.014079245256338857,0.02335289169251119
double_lift_zebra,AVG,N/A,0.008836000407004625,0.02435523798138091
single_push_rope_1,0,2293,0.004652406385502164,0.008042591120430884
single_push_rope_1,1,1439,0.0043247914336548504,0.007513453228432352
single_push_rope_1,2,902,0.004334307305062658,0.008241560800736703
single_push_rope_1,3,551,0.004492386209336903,0.006857951397942053
single_push_rope_1,AVG,N/A,0.004450972833389143,0.007663889136885497
single_clift_cloth_1,0,6490,0.0033123719135630105,0.0102587068461464
single_clift_cloth_1,1,4098,0.003496929783862381,0.009603398907825807
single_clift_cloth_1,2,2611,0.005213577327485193,0.01707342068841021
single_clift_cloth_1,3,1630,0.006329486352389243,0.018359203469398944
single_clift_cloth_1,AVG,N/A,0.0045880913443249564,0.01382368247794534
double_stretch_sloth,0,6487,0.009031830823173301,0.010244307019899
double_stretch_sloth,1,4089,0.019293891743010015,0.022542614227685734
double_stretch_sloth,2,2570,0.03340148012017337,0.0273136839571835
double_stretch_sloth,3,1656,0.0425915518834377,0.03145749271098921
double_stretch_sloth,AVG,N/A,0.026079688642448598,0.022889524478939362
single_lift_rope,0,2148,0.005129761709301738,0.010464842044413052
single_lift_rope,1,1358,0.004803369668112177,0.009453575971361632
single_lift_rope,2,860,0.004460541451868244,0.014503703362215374
single_lift_rope,3,542,0.0060881621081549505,0.013884136126903238
single_lift_rope,AVG,N/A,0.005120458734359277,0.012076564376223323
double_lift_cloth_1,0,4742,0.003158045182830728,0.010134139084296997
double_lift_cloth_1,1,3007,0.004367314987822983,0.029950585239464863
double_lift_cloth_1,2,1884,0.005399156121073122,0.02872573929333066
double_lift_cloth_1,3,1166,0.006179920688904621,0.035477695750933354
double_lift_cloth_1,AVG,N/A,0.004776109245157863,0.02607203984200647
single_lift_sloth,0,6895,0.004489523698797596,0.020260919676270743
single_lift_sloth,1,4378,0.005371067499669711,0.020662174014914436
single_lift_sloth,2,2731,0.006040092437969641,0.029720513324244656
single_lift_sloth,3,1722,0.008315808429842543,0.03357720404205222
single_lift_sloth,AVG,N/A,0.006054123016569872,0.026055202764370514
single_lift_cloth_4,0,8185,0.019052967098178174,0.048813151444139294
single_lift_cloth_4,1,5166,0.02741847235166468,0.10163451324030431
single_lift_cloth_4,2,3245,0.019803786656992096,0.05742701216244509
single_lift_cloth_4,3,2006,0.0207502826816115,0.05831186142478666
single_lift_cloth_4,AVG,N/A,0.021756377197111612,0.06654663456791883
weird_package,0,4532,0.02191704170734067,0.04974013940849748
weird_package,1,2867,0.026854847285804465,0.04700257267497803
weird_package,2,1807,0.044136425199848686,0.05160198382768047
weird_package,3,1102,0.0566322041869168,0.052635758825527006
weird_package,AVG,N/A,0.037385129594977654,0.05024511368417075
single_lift_cloth,0,7793,0.029518361706814985,0.07532103303992208
single_lift_cloth,1,4892,0.031898612744938,0.07239770916407487
single_lift_cloth,2,3084,0.03440726850558568,0.06822129311519269
single_lift_cloth,3,1946,0.031748512137030886,0.05183624313572976
single_lift_cloth,AVG,N/A,0.03189318877359239,0.06694406961372985
rope_double_hand,0,1753,0.013631578232808179,0.020850369632796146
rope_double_hand,1,1123,0.016318331098451606,0.022509415032717344
rope_double_hand,2,695,0.0176735261149788,0.02083763830081315
rope_double_hand,3,447,0.01921099272091033,0.020522165805807437
rope_double_hand,AVG,N/A,0.01670860704178723,0.021179897193033516

Layer-wise Average across all cases
Average,0,5386.86,0.009236,0.023035
Average,1,3404.95,0.011697,0.032830
Average,2,2143.86,0.014533,0.033072
Average,3,1349.05,0.018603,0.036056
