Case Name,Level,Num Nodes,Train Track Error,Test Track Error
single_clift_cloth_3,0,8158,0.005461286378176523,0.010526405706018578
single_clift_cloth_3,AVG,N/A,0.005461286378176523,0.010526405706018578
double_lift_cloth_1,0,4742,0.0034087834183213024,0.02027587434394823
double_lift_cloth_1,AVG,N/A,0.0034087834183213024,0.02027587434394823
double_stretch_sloth,0,6487,0.008107558440912974,0.01000935914418222
double_stretch_sloth,AVG,N/A,0.008107558440912974,0.01000935914418222
single_lift_rope,0,2148,0.005838877513145107,0.010973191293902689
single_lift_rope,AVG,N/A,0.005838877513145107,0.010973191293902689
double_lift_cloth_3,0,7521,0.0029685872906569178,0.010141124455171256
double_lift_cloth_3,AVG,N/A,0.0029685872906569178,0.010141124455171256
single_lift_cloth_3,0,8582,0.007991031648350026,0.03452264717376013
single_lift_cloth_3,AVG,N/A,0.007991031648350026,0.03452264717376013
rope_double_hand,0,1753,0.010588076220511106,0.017540964314607645
rope_double_hand,AVG,N/A,0.010588076220511106,0.017540964314607645
double_lift_zebra,0,4607,0.0048032640024158885,0.022670308210917416
double_lift_zebra,AVG,N/A,0.0048032640024158885,0.022670308210917416
double_lift_sloth,0,6660,0.005796502478162387,0.022399003358668935
double_lift_sloth,AVG,N/A,0.005796502478162387,0.022399003358668935
single_lift_zebra,0,4934,0.004500847876322,0.020634086113721185
single_lift_zebra,AVG,N/A,0.004500847876322,0.020634086113721185
single_push_rope_4,0,855,0.005780173671483517,0.011468015575215906
single_push_rope_4,AVG,N/A,0.005780173671483517,0.011468015575215906
single_lift_cloth_4,0,8185,0.012851265767667843,0.03090002386557741
single_lift_cloth_4,AVG,N/A,0.012851265767667843,0.03090002386557741
single_lift_dinosor,0,7576,0.0053547087299978665,0.008424706347391534
single_lift_dinosor,AVG,N/A,0.0053547087299978665,0.008424706347391534
