Case Name,Train Track Error,Test Track Error
single_clift_cloth_3,0.0054549868309681695,0.01273359060530106
double_lift_cloth_1,0.004012995657775379,0.016014338405680246
single_lift_rope,0.005385167714622645,0.01657653035976732
double_lift_cloth_3,0.003085223072029063,0.009397011690906112
single_lift_cloth_3,0.011773571969364694,0.04289455974809066
rope_double_hand,0.013437940202160667,0.018458133818593937
double_lift_zebra,0.006230783813462944,0.030451701510168943
single_push_rope_4,0.006772792122254867,0.008893258572063887
single_push_rope_1,0.004487069582700779,0.00719103910061797
single_lift_cloth_1,0.009086720276765395,0.026027402739325644
single_lift_cloth,0.03780705144833123,0.07366154176592069
single_push_rope,0.0075126349558230915,0.01654283646630188
