Case Name,Level,Num Nodes,Train Track Error,Test Track Error
double_stretch_zebra,0,4208,0.008613575655840908,0.019292971078751078
double_stretch_zebra,1,2666,0.009934030388698131,0.01767424970622867
double_stretch_zebra,2,1697,0.014843378289426747,0.022063795166285028
double_stretch_zebra,3,1067,0.02852323414370122,0.03738786569390214
double_stretch_zebra,AVG,N/A,0.01547855461941675,0.024104720411291726
double_lift_sloth,0,6660,0.005811761784372861,0.020839489966262323
double_lift_sloth,1,4223,0.012658562993800304,0.03291082211580815
double_lift_sloth,2,2701,0.013325774869861267,0.03108385424329173
double_lift_sloth,3,1726,0.02308626503825767,0.06899839804846514
double_lift_sloth,AVG,N/A,0.013720591171573026,0.038458141093456834
single_push_sloth,0,6270,0.008957763406156498,0.02222632690807554
single_push_sloth,1,3940,0.010701617795694363,0.016645844822811753
single_push_sloth,2,2481,0.03575242603403427,0.07932253071803207
single_push_sloth,3,1566,0.06240831714685515,0.23655595842018926
single_push_sloth,AVG,N/A,0.02945503109568507,0.08868766521727715
single_push_rope_4,0,855,0.0055406303147014285,0.016239792761801066
single_push_rope_4,1,529,0.009284449257224336,0.011679014615521068
single_push_rope_4,2,335,0.012300114620019079,0.01852857371490059
single_push_rope_4,3,225,0.013455322575797856,0.02284167631226496
single_push_rope_4,AVG,N/A,0.010145129191935675,0.01732226435112192
single_lift_cloth_3,0,8582,0.009964649764801034,0.03259481930561437
single_lift_cloth_3,1,5452,0.021361927197228667,0.10495009287833867
single_lift_cloth_3,2,3275,0.016973516784981664,0.06973119150559538
single_lift_cloth_3,3,1993,0.0215973720010356,0.10041698978486405
single_lift_cloth_3,AVG,N/A,0.01747436643701174,0.0769232733686031
single_lift_dinosor,0,7576,0.005933177856955089,0.011851247254235697
single_lift_dinosor,1,4771,0.007614870768815848,0.01593215064559576
single_lift_dinosor,2,3003,0.010095453781070343,0.015289840916601192
single_lift_dinosor,3,1892,0.03532555848057745,0.03486965496631002
single_lift_dinosor,AVG,N/A,0.014742265221854683,0.019485723445685665
double_lift_cloth_3,0,7521,0.0029773077641990294,0.009672277213438642
double_lift_cloth_3,1,4778,0.0041439842368391705,0.021561355015528662
double_lift_cloth_3,2,2999,0.005654680727950828,0.023036112042246246
double_lift_cloth_3,3,1862,0.006172980704854616,0.02364468933478435
double_lift_cloth_3,AVG,N/A,0.0047372383584609115,0.019478608401499474
single_lift_cloth_1,0,5490,0.008238043190204353,0.02532704811656855
single_lift_cloth_1,1,3486,0.009673735233566155,0.023453863857974985
single_lift_cloth_1,2,2193,0.018406005212651077,0.0577391706863839
single_lift_cloth_1,3,1371,0.010745204009704806,0.033679355903960734
single_lift_cloth_1,AVG,N/A,0.011765746911531599,0.03504985964122204
single_lift_zebra,0,4934,0.004586463907933763,0.019708269945785846
single_lift_zebra,1,3117,0.005201118224576183,0.025413831842597323
single_lift_zebra,2,1955,0.006694845241987572,0.03167551228380085
single_lift_zebra,3,1255,0.011287468930367982,0.04607693967650826
single_lift_zebra,AVG,N/A,0.006942474076216375,0.03071863843717307
single_push_rope,0,2332,0.0073877340867064215,0.014422624487104593
single_push_rope,1,1483,0.009079344223966475,0.016878419210637825
single_push_rope,2,921,0.009643779206506558,0.01583187238567156
single_push_rope,3,594,0.009758280570363593,0.015217800913543038
single_push_rope,AVG,N/A,0.008967284521885761,0.015587679249239254
single_clift_cloth_3,0,8158,0.005611014409953241,0.016198225065155156
single_clift_cloth_3,1,5189,0.009335622286420445,0.05211423754655062
single_clift_cloth_3,2,3265,0.009419603803001783,0.0521186500347968
single_clift_cloth_3,3,2033,0.00988511210699975,0.05263299967083608
single_clift_cloth_3,AVG,N/A,0.008562838151593805,0.04326602807933466
double_lift_zebra,0,4607,0.004960662025793208,0.028847942898293826
double_lift_zebra,1,2898,0.007769875797788139,0.02906073584026
double_lift_zebra,2,1792,0.00833358770684501,0.022402951275877086
double_lift_zebra,3,1124,0.010471548904824428,0.02303294515853097
double_lift_zebra,AVG,N/A,0.007883918608812697,0.02583614379324047
single_push_rope_1,0,2293,0.00436417678841465,0.005215853368961324
single_push_rope_1,1,1449,0.004512350080129986,0.010362235397238007
single_push_rope_1,2,930,0.004716607474072354,0.008708311903991352
single_push_rope_1,3,570,0.005066205609312832,0.007085127683421245
single_push_rope_1,AVG,N/A,0.004664834987982456,0.007842882088402982
single_clift_cloth_1,0,6490,0.003270641170442311,0.010012784073755542
single_clift_cloth_1,1,4098,0.0032260352078954477,0.010052348688171496
single_clift_cloth_1,2,2580,0.004222884229153417,0.017006178592158725
single_clift_cloth_1,3,1583,0.005142358649294383,0.01733219364185758
single_clift_cloth_1,AVG,N/A,0.003965479814196389,0.013600876248985837
double_stretch_sloth,0,6487,0.01093987153870536,0.011714470229465236
double_stretch_sloth,1,4092,0.01929845811280605,0.022607129958784552
double_stretch_sloth,2,2546,0.026113193148562072,0.019953650359270093
double_stretch_sloth,3,1631,0.040662960366241875,0.029322341669290656
double_stretch_sloth,AVG,N/A,0.02425362079157884,0.02089939805420263
single_lift_rope,0,2148,0.005280187436870568,0.012897764133314775
single_lift_rope,1,1361,0.004955481538928693,0.011471373486277376
single_lift_rope,2,837,0.005083286445743404,0.009359993994079517
single_lift_rope,3,537,0.006079842461698652,0.015627571633653446
single_lift_rope,AVG,N/A,0.005349699470810329,0.012339175811831277
double_lift_cloth_1,0,4742,0.003169308657472223,0.008645909362896605
double_lift_cloth_1,1,3013,0.005216554743541798,0.028730574149306295
double_lift_cloth_1,2,1882,0.00579990619835851,0.03122554544249946
double_lift_cloth_1,3,1171,0.006560485689841904,0.03786907373554486
double_lift_cloth_1,AVG,N/A,0.005186563822303609,0.0266177756725618
single_lift_sloth,0,6895,0.005120961276987455,0.0261087782142244
single_lift_sloth,1,4379,0.005293664289730105,0.019695660671635952
single_lift_sloth,2,2717,0.0063702462889992,0.03326613569257751
single_lift_sloth,3,1721,0.009342318416825496,0.036170898359058394
single_lift_sloth,AVG,N/A,0.006531797568135564,0.028810368234374065
single_lift_cloth_4,0,8185,0.03106361514750156,0.07541736231945426
single_lift_cloth_4,1,5206,0.028656226473426635,0.1158492178374516
single_lift_cloth_4,2,3260,0.027216801180983744,0.10904398768755559
single_lift_cloth_4,3,2043,0.021707424277565016,0.06928283312723457
single_lift_cloth_4,AVG,N/A,0.027161016769869237,0.092398350242924
weird_package,0,4532,0.023466067850763064,0.04545384020364574
weird_package,1,2855,0.024039177228997503,0.025527762398353568
weird_package,2,1815,0.03122669492753213,0.04254654357856141
weird_package,3,1113,0.04913124110733794,0.052030420996160266
weird_package,AVG,N/A,0.03196579527865766,0.04138964179418025
single_lift_cloth,0,7793,0.025622140367102603,0.05993967700192686
single_lift_cloth,1,4881,0.05321256835908888,0.09160386514571645
single_lift_cloth,2,3046,0.048461600021840044,0.09874518534076186
single_lift_cloth,3,1896,0.043667076361765804,0.07400972156585142
single_lift_cloth,AVG,N/A,0.04274084627744933,0.08107461226356416
rope_double_hand,0,1753,0.013931367336247903,0.023539422807473516
rope_double_hand,1,1114,0.014844348240585538,0.017667936232586827
rope_double_hand,2,698,0.019063163362570523,0.021821067857616304
rope_double_hand,3,439,0.022092460182571886,0.025630711574476446
rope_double_hand,AVG,N/A,0.017482834780493964,0.022164784618038273

Layer-wise Average across all cases
Average,0,5386.86,0.009310,0.023462
Average,1,3408.18,0.012728,0.032811
Average,2,2133.09,0.015442,0.037750
Average,3,1336.91,0.020553,0.048169
