Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
single_lift_sloth,AVG,N/A,N/A,0.005635165693218306,N/A,0.016202973613802057
single_lift_cloth_4,0,8185,119,0.028986220726422464,52,0.0402036694666514
single_lift_cloth_4,1,5206,119,0.01218309419957467,52,0.04627627084174982
single_lift_cloth_4,2,3260,119,0.013003149429852721,52,0.042392573391015716
single_lift_cloth_4,3,2043,119,0.012968169423524573,52,0.03468216049413268
single_lift_cloth_4,AVG,N/A,N/A,0.016785158444843608,N/A,0.04088866854838741
weird_package,0,4532,26,0.011497770257007617,12,0.01858869210506479
weird_package,1,2855,26,0.014866936736955093,12,0.012664567523946365
weird_package,2,1815,26,0.03451345579770322,12,0.03885857667773962
weird_package,3,1113,26,0.04457754444760772,12,0.03569194224352638
weird_package,AVG,N/A,N/A,0.026363926809818413,N/A,0.026450944637569286
single_lift_cloth,0,7793,120,0.011576364247594029,52,0.02630737950452245
single_lift_cloth,1,4881,120,0.028594650652181978,52,0.03967143627456748
single_lift_cloth,2,3046,120,0.021317749303610373,52,0.03143056886843764
single_lift_cloth,3,1896,120,0.02572632605054726,52,0.03251831627522524
single_lift_cloth,AVG,N/A,N/A,0.021803772563483412,N/A,0.0324819252306882
rope_double_hand,0,1753,183,0.005906387133004724,80,0.006834506645100191
rope_double_hand,1,1114,183,0.010842956103832345,80,0.011035447247559204
rope_double_hand,2,698,183,0.014062854845606076,80,0.01403729673475027
rope_double_hand,3,439,183,0.016036286560788017,80,0.016048515774309637
rope_double_hand,AVG,N/A,N/A,0.011712121160807791,N/A,0.011988941600429825

Layer-wise Average across all cases
Average,0,5386.86,N/A,0.005825,N/A,0.012049
Average,1,3408.18,N/A,0.007874,N/A,0.015967
Average,2,2133.09,N/A,0.010967,N/A,0.020150
Average,3,1336.91,N/A,0.015196,N/A,0.028040
