Case Name,Level,Num Nodes,Train Track Error,Test Track Error
double_lift_zebra,0,756,0.027630099623258093,0.05557037002495968
double_lift_zebra,AVG,N/A,0.027630099623258093,0.05557037002495968
single_clift_cloth_3,0,1273,0.01404229650631661,0.05571954741716834
single_clift_cloth_3,AVG,N/A,0.01404229650631661,0.05571954741716834
single_lift_rope,0,332,0.009832498472748872,0.014631104100941586
single_lift_rope,AVG,N/A,0.009832498472748872,0.014631104100941586
single_push_sloth,0,1000,0.07316703313681383,0.2097054980662138
single_push_sloth,AVG,N/A,0.07316703313681383,0.2097054980662138
